YEAR,MONTH,DATE,STATE,DEP,ARR,APT_CODE
2017,,2017-03-24,France,3.0,2.0,Dinard-Pleurtuit-Saint-Malo (LFRD)
2017,JUN,2017-06-11,Germany,,272.0,Berlin - Tegel (EDDT)
2019,JAN,,France,9.0,9.0,Metz-Nancy-Lorraine (LFJL)
2016,MAR,2016-03-23,Spain,82.0,,Tenerife North (GCXO)
2018,APR,2018-04-29,Lithuania,6.0,5.0,Palanga (EYPA)
2017,FEB,2017-02-03,Spain,10.0,12.0,Seville - Moron (LEMO)
2020,JUL,2020-07-20,Spain,8.0,7.0,La Coruna (LECO)
2016,JUN,2016-06-27,Switzerland,2.0,,Sion (LSGS)
2021,DEC,2021-12-06,Spain,3.0,3.0,Gerona (LEGE)
2021,APR,2021-04-16,Spain,,6.0,Granada (LEGR)
2019,JUL,2019-07-27,France,18.0,17.0,La Rochelle-Ile de Ré (LFBH)
2020,SEP,2020-09-28,Romania,,90.0,Bucharest - Otopeni (LROP)
2016,,2016-03-11,Georgia,,20.0,Tbilisi (UGTB)
2019,AUG,2019-08-21,Spain,3.0,3.0,Leon (LELN)
2020,SEP,2020-09-24,Denmark,150.0,,Copenhagen - Kastrup (EKCH)
2021,MAY,2021-05-02,Spain,149.0,138.0,Palma de Mallorca (LEPA)
2020,DEC,2020-12-21,Italy,100.0,99.0,Rome - Fiumicino (LIRF)
2021,MAY,2021-05-22,Slovenia,0.0,1.0,Portorož (LJPZ)
2018,MAR,2018-03-10,Poland,5.0,5.0,Szczecin - Goleniów (EPSC)
2017,FEB,2017-02-04,Germany,,137.0,Hamburg (EDDH)
2017,JUN,2017-06-17,Poland,64.0,63.0,Krakow - Balice (EPKK)
2019,,2019-04-13,United Kingdom,55.0,55.0,Belfast - Aldergrove (EGAA)
2021,AUG,2021-08-20,Ireland,196.0,,Dublin (EIDW)
2017,,2017-12-28,Türkiye,291.0,291.0,Istanbul Sabiha Gökçen (LTFJ)
2016,FEB,2016-02-14,Spain,61.0,59.0,Valencia (LEVC)
2019,MAY,2019-05-13,Poland,288.0,,Warszawa - Chopina (EPWA)
2016,SEP,2016-09-17,Ireland,37.0,36.0,Cork (EICK)
2016,,2016-09-04,Poland,3.0,3.0,Lublin (EPLB)
