YEAR,MONTH,DATE,STATE,DEP,ARR,APT_CODE
2021,OCT,2021-10-23,Spain,10,9,Vigo (LEVX)
2020,DEC,2020-12-28,Italy,103,103,Rome - Fiumicino (LIRF)
2019,MAY,2019-05-20,Greece,4,4,Skiathos (LGSK)
2022,MAR,2022-03-11,Germany,49,48,Hanover (EDDV)
2018,SEP,2018-09-12,Poland,51,49,Poznan - Lawica (EPPO)
2021,JUL,2021-07-31,United Kingdom,68,65,East Midlands (EGNX)
2018,OCT,2018-10-30,Norway,100,92,Trondheim (ENVA)
2018,OCT,2018-10-27,France,1,1,Istres-Le Tubé (LFMI)
2017,MAR,2017-03-24,France,3,2,Dinard-Pleurtuit-Saint-Malo (LFRD)
2017,JUN,2017-06-11,Germany,268,272,Berlin - Tegel (EDDT)
2019,JAN,2019-01-08,France,9,9,Metz-Nancy-Lorraine (LFJL)
2016,MAR,2016-03-23,Spain,82,82,Tenerife North (GCXO)
2018,APR,2018-04-29,Lithuania,6,5,Palanga (EYPA)
2017,FEB,2017-02-03,Spain,10,12,Seville - Moron (LEMO)
2020,JUL,2020-07-20,Spain,8,7,La Coruna (LECO)
2016,JUN,2016-06-27,Switzerland,2,3,Sion (LSGS)
2021,DEC,2021-12-06,Spain,3,3,Gerona (LEGE)
2021,APR,2021-04-16,Spain,6,6,Granada (LEGR)
2019,JUL,2019-07-27,France,18,17,La Rochelle-Ile de Ré (LFBH)
2020,SEP,2020-09-28,Romania,89,90,Bucharest - Otopeni (LROP)
2016,MAR,2016-03-11,Georgia,22,20,Tbilisi (UGTB)
2019,AUG,2019-08-21,Spain,3,3,Leon (LELN)
2020,SEP,2020-09-24,Denmark,150,145,Copenhagen - Kastrup (EKCH)
2021,MAY,2021-05-02,Spain,149,138,Palma de Mallorca (LEPA)
2020,DEC,2020-12-21,Italy,100,99,Rome - Fiumicino (LIRF)
2021,MAY,2021-05-22,Slovenia,0,1,Portorož (LJPZ)
