YEAR,MONTH,DATE,STATE,DEP,ARR,APT_CODE
2020,JAN,2020-01-03,Germany,93.0,102.0,Leipzig-Halle (EDDP)
2020,JAN,2020-01-03,Germany,,8.0,Saarbruecken (EDDR)
2020,JAN,2020-01-03,Germany,142.0,141.0,Stuttgart (EDDS)
2020,JAN,2020-01-03,Germany,234.0,234.0,Berlin - Tegel (EDDT)
2020,JAN,2020-01-03,Germany,68.0,64.0,Hanover (EDDV)
2020,JAN,2020-01-03,Germany,28.0,25.0,Bremen (EDDW)
2020,JAN,2020-01-03,United Kingdom,72.0,74.0,Belfast - Aldergrove (EGAA)
2020,JAN,2020-01-03,United Kingdom,40.0,40.0,Belfast - City Airport (EGAC)
2020,JAN,2020-01-03,United Kingdom,6.0,6.0,Londonderry - Eglinton (EGAE)
2020,JAN,2020-01-03,United Kingdom,131.0,132.0,Birmingham (EGBB)
2020,JAN,2020-01-03,United Kingdom,260.0,266.0,Manchester (EGCC)
2020,JAN,2020-01-03,United Kingdom,83.0,84.0,Bristol (EGGD)
2020,JAN,2020-01-03,United Kingdom,189.0,184.0,London - Luton (EGGW)
2020,JAN,2020-01-03,United Kingdom,39.0,39.0,Southampton (EGHI)
2020,JAN,2020-01-03,United Kingdom,24.0,22.0,Biggin Hill (EGKB)
2020,JAN,2020-01-03,United Kingdom,378.0,374.0,London - Gatwick (EGKK)
2020,JAN,2020-01-03,United Kingdom,101.0,103.0,London - City (EGLC)
2020,JAN,2020-01-03,United Kingdom,29.0,39.0,Farnborough (EGLF)
2020,JAN,2020-01-03,United Kingdom,639.0,641.0,London - Heathrow (EGLL)
2020,JAN,2020-01-03,United Kingdom,49.0,48.0,Newcastle (EGNT)
2020,JAN,2020-01-03,United Kingdom,88.0,89.0,East Midlands (EGNX)
2020,JAN,2020-01-03,United Kingdom,60.0,60.0,Aberdeen (EGPD)
2020,JAN,2020-01-03,United Kingdom,112.0,111.0,Glasgow (EGPF)
2020,JAN,2020-01-03,United Kingdom,186.0,179.0,Edinburgh (EGPH)
2020,JAN,2020-01-03,United Kingdom,281.0,282.0,London - Stansted (EGSS)
2020,JAN,2020-01-03,Greece,254.0,259.0,Athens (LGAV)
2020,JAN,2020-01-03,Greece,23.0,23.0,Heraklion (LGIR)
2020,JAN,2020-01-03,Greece,2.0,2.0,Kefallinia (LGKF)
2020,JAN,2020-01-03,Greece,5.0,5.0,Kos (LGKO)
2020,JAN,2020-01-03,Greece,8.0,9.0,Corfu (LGKR)
2020,JAN,2020-01-03,Greece,2.0,2.0,Mikonos (LGMK)
2020,JAN,2020-01-03,Greece,11.0,12.0,Rodos (LGRP)
2020,JAN,2020-01-03,Greece,22.0,,Khania - Souda (LGSA)
2020,JAN,2020-01-03,Greece,2.0,,Skiathos (LGSK)
2020,JAN,2020-01-03,Greece,8.0,8.0,Santorini (LGSR)
2020,JAN,2020-01-03,Greece,68.0,68.0,Thessaloniki (LGTS)
2020,JAN,2020-01-03,Greece,2.0,2.0,Zakinthos (LGZA)
2020,JAN,2020-01-03,Italy,26.0,27.0,Brindisi (LIBR)
2020,JAN,2020-01-03,Italy,97.0,97.0,Catania (LICC)
2020,JAN,2020-01-03,Italy,289.0,289.0,Milan - Malpensa (LIMC)
2020,JAN,2020-01-03,Italy,,151.0,Bergamo (LIME)
2020,JAN,2020-01-03,Italy,48.0,51.0,Torino Caselle (LIMF)
2020,JAN,2020-01-03,Italy,139.0,146.0,Milan - Linate (LIML)
2020,JAN,2020-01-03,Italy,105.0,,Bologna (LIPE)
2020,JAN,2020-01-03,Italy,28.0,28.0,Treviso (LIPH)
2020,JAN,2020-01-03,Italy,,116.0,Venice (LIPZ)
2020,JAN,2020-01-03,Italy,61.0,61.0,Rome - Ciampino (LIRA)
2020,JAN,2020-01-03,Italy,397.0,398.0,Rome - Fiumicino (LIRF)
2020,JAN,2020-01-03,Italy,114.0,118.0,Naples (LIRN)
2020,JAN,2020-01-03,Italy,54.0,54.0,Pisa San Giusto (LIRP)
2020,JAN,2020-01-04,Germany,96.0,95.0,Berlin - Brandenburg (EDDB)
2020,JAN,2020-01-04,Germany,15.0,15.0,Dresden (EDDC)
2020,JAN,2020-01-04,Germany,585.0,578.0,Frankfurt (EDDF)
2020,JAN,2020-01-04,Germany,11.0,12.0,Muenster-Osnabrueck (EDDG)
2020,JAN,2020-01-04,Germany,141.0,139.0,Hamburg (EDDH)
2020,JAN,2020-01-04,Germany,123.0,112.0,Cologne-Bonn (EDDK)
2020,JAN,2020-01-04,Germany,,202.0,Dusseldorf (EDDL)
2020,JAN,2020-01-04,Germany,436.0,432.0,Munich (EDDM)
2020,JAN,2020-01-04,Germany,46.0,48.0,Nuremberg (EDDN)
2020,JAN,2020-01-04,Germany,64.0,54.0,Leipzig-Halle (EDDP)
2020,JAN,2020-01-04,Germany,2.0,1.0,Saarbruecken (EDDR)
2020,JAN,2020-01-04,Germany,111.0,109.0,Stuttgart (EDDS)
2020,JAN,2020-01-04,Germany,182.0,181.0,Berlin - Tegel (EDDT)
2020,JAN,2020-01-04,Germany,54.0,58.0,Hanover (EDDV)
2020,JAN,2020-01-04,Germany,19.0,19.0,Bremen (EDDW)
2020,JAN,2020-01-04,United Kingdom,47.0,,Belfast - Aldergrove (EGAA)
2020,JAN,2020-01-04,United Kingdom,21.0,22.0,Belfast - City Airport (EGAC)
